season,season_type,player_id,player_name,position,position_group,completions,attempts,passing_yards,passing_tds,interceptions,sacks,sack_yards,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_2pt_conversions,pacr,dakota,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,racr,target_share,air_yards_share,wopr,special_teams_tds,fantasy_points,fantasy_points_ppr
2024,REG,00-0035993,T.Huntley,QB,QB,86,133,829,3,3,15,92,4,1,1036,352,45,-17.84803652,0,0.80019305,0.045663746,26,135,2,2,1,10,-0.536011617,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,60.66,60.66
2024,REG,00-0036037,S.Franklin,SS,DB,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,0,1,0,0,0,0,11,0,0,-2.683452533,0,0,0.028571429,0.035714286,0.067857143,0,0,0
2024,REG,00-0036040,J.Johnson,TE,TE,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,50,66,548,3,2,0,547,212,27,18.76457071,0,1.001828154,0.137787056,0.141234185,0.305544514,0,72.8,122.8
2024,REG,00-0036096,J.Taylor,RB,RB,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,10,44,0,0,0,1,-0.025005743,0,2,3,0,0,0,0,-6,1,0,-2.493362254,0,0,0.036585366,-0.010544815,0.047496678,0,4.4,6.4
2024,REG,00-0036133,J.Proche,WR,WR,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,3,3,21,0,0,0,17,4,1,0.943087107,0,1.235294118,0.043478261,0.034136546,0.089112974,0,2.1,5.1
2024,REG,00-0036139,R.Dowdle,RB,RB,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,235,1079,2,3,2,53,-10.5282787,0,39,49,249,3,0,0,1,272,13,5.262085687,0,249,0.087971275,0.00026062,0.132139346,0,158.8,197.8
2024,REG,00-0036158,J.Dobbins,RB,RB,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,195,905,9,0,0,47,4.240172509,0,32,38,153,0,0,0,-44,204,7,-13.86699141,0,-3.477272727,0.10106383,-0.016260163,0.140213631,0,159.8,191.8
2024,REG,00-0036165,I.Hodgins,WR,WR,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,2,2,12,0,0,0,11,1,0,0.517643641,0,1.090909091,0.029411765,0.021568627,0.059215686,0,1.2,3.2
2024,REG,00-0036176,M.Kinsey,WR,WR,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,2,2,17,0,0,0,17,0,1,0.798377008,0,1,0.028571429,0.039719626,0.070660881,0,1.7,3.7
2024,REG,00-0036182,N.Westbrook-Ikhine,WR,WR,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,32,60,497,9,0,0,700,124,25,12.68748928,0,0.71,0.149625935,0.205580029,0.368344923,0,103.7,135.7
