season,team,player_id
2023,NYG,00-0033539
2023,CIN,00-0033543
2023,SEA,00-0033545
2023,CLE,00-0033546
2023,PHI,00-0033547
2023,CIN,00-0033548
2023,MIA,00-0033549
2023,BUF,00-0033551
2023,ARI,00-0033553
2023,ATL,00-0033555
2023,CAR,00-0033556
2023,DET,00-0033557
2023,ARI,00-0033563
2023,HOU,00-0033566
2023,SF,00-0033567
2023,ARI,00-0033568
2023,PHI,00-0033569
2023,CLE,00-0033570
2023,BUF,00-0033571
2023,JAX,00-0033572
2023,HOU,00-0033576
2023,CAR,00-0033579
2023,MIN,00-0033580
2023,JAX,00-0033582
2023,LV,00-0033588
2023,TB,00-0033589
2023,HOU,00-0033591
2023,BAL,00-0033592
2023,TB,00-0033595
2023,BUF,00-0033598
2023,IND,00-0033611
2023,HOU,00-0033631
2023,TEN,00-0033659
2023,DAL,00-0033662
2023,ARI,00-0033676
2023,LV,00-0033681
2023,LAC,00-0033697
2023,LAC,00-0033699
2023,ATL,00-0033702
2023,MIA,00-0033716
2023,MIN,00-0033720
2023,ARI,00-0033725
2023,HOU,00-0033729
2023,PHI,00-0033733
2023,MIA,00-0033734
2023,TEN,00-0033740
2023,SF,00-0033746
2023,ATL,00-0033752
2023,CHI,00-0033757
2023,CHI,00-0033765
2023,NYJ,00-0033770
2023,CHI,00-0033782
2023,LA,00-0033783
2023,CHI,00-0033784
2023,PHI,00-0033787
2023,IND,00-0033791
2023,GB,00-0033792
2023,TEN,00-0033793
2023,HOU,00-0033798
2023,WAS,00-0033831
2023,HOU,00-0033854
2023,BUF,00-0033856
2023,NE,00-0033857
2023,ATL,00-0033858
2023,NE,00-0033860
2023,SF,00-0033862
2023,DET,00-0033863
2023,CLE,00-0033868
2023,PIT,00-0033869
2023,NYJ,00-0033870
2023,NYJ,00-0033871
2023,SEA,00-0033872
2023,KC,00-0033873
2023,NO,00-0033874
2023,PHI,00-0033875
2023,HOU,00-0033876
2023,DAL,00-0033877
2023,NYG,00-0033878
2023,DET,00-0033880
2023,JAX,00-0033881
2023,NE,00-0033883
2023,BUF,00-0033884
2023,CLE,00-0033885
2023,PIT,00-0033886
2023,NO,00-0033888
2023,JAX,00-0033889
2023,ARI,00-0033890
2023,JAX,00-0033891
2023,NO,00-0033892
2023,BAL,00-0033893
2023,BAL,00-0033894
2023,LAC,00-0033895
2023,CIN,00-0033897
2023,PHI,00-0033898
2023,CLE,00-0033901
2023,NO,00-0033902
2023,BUF,00-0033904
2023,PIT,00-0033905
2023,NO,00-0033906
2023,JAX,00-0033907
2023,LA,00-0033908
2023,ARI,00-0033909
2023,CHI,00-0033910
2023,NO,00-0033912
2023,CAR,00-0033913
2023,DET,00-0033914
2023,DEN,00-0033918
2023,IND,00-0033920
2023,TB,00-0033921
2023,CLE,00-0033923
2023,CHI,00-0033925
2023,CAR,00-0033926
2023,LA,00-0033927
2023,DAL,00-0033928
2023,PIT,00-0033929
2023,DET,00-0033930
2023,CIN,00-0033935
2023,JAX,00-0033936
2023,TEN,00-0033940
2023,JAX,00-0033941
2023,DET,00-0033943
2023,IND,00-0033945
2023,CAR,00-0033946
2023,NE,00-0033947
2023,NO,00-0033948
2023,MIN,00-0033949
2023,ARI,00-0033951
2023,IND,00-0033952
2023,SF,00-0033955
2023,CHI,00-0033958
2023,NYJ,00-0033963
2023,IND,00-0033964
2023,NYJ,00-0033969
2023,CLE,00-0033995
2023,PIT,00-0034051
2023,MIA,00-0034054
2023,DET,00-0034067
2023,WAS,00-0034071
2023,SF,00-0034073
2023,DET,00-0034084
2023,DEN,00-0034089
2023,SF,00-0034091
2023,DET,00-0034096
2023,CAR,00-0034104
2023,MIN,00-0034112
2023,LA,00-0034114
2023,MIA,00-0034115
2023,NO,00-0034116
2023,ARI,00-0034125
2023,NYG,00-0034142
2023,IND,00-0034145
2023,MIN,00-0034158
2023,SEA,00-0034159
2023,SEA,00-0034160
2023,LV,00-0034161
2023,LAC,00-0034162
2023,IND,00-0034163
2023,NO,00-0034165
2023,DET,00-0034171
2023,CAR,00-0034173
2023,HOU,00-0034177
2023,BAL,00-0034184
2023,DEN,00-0034185
2023,TEN,00-0034193
2023,DAL,00-0034198
2023,JAX,00-0034203
2023,CAR,00-0034208
2023,DAL,00-0034229
2023,BUF,00-0034234
