official_id,game_key
687,59425
431,59426
422,59427
690,59428
681,59430
288,59435
422,59440
766,59432
873,59443
772,59433
781,59439
480,59431
279,59434
758,59444
687,59437
693,59436
690,59442
431,59441
493,59429
689,59438
690,59494
772,59495
495,59497
431,59498
493,59499
279,59496
422,59500
689,59501
288,59502
687,59503
758,59504
480,59505
288,59506
687,59508
495,59509
772,59510
873,59511
758,59512
781,59513
422,59514
431,59515
766,59516
689,59517
693,59518
681,59519
480,59520
288,59521
493,59522
279,59523
288,59524
873,59525
772,59526
758,59527
690,59528
687,59529
493,59530
681,59531
279,59532
766,59533
693,59534
422,59535
480,59536
689,59537
781,59538
431,59539
422,59540
431,59541
493,59542
687,59543
693,59544
689,59545
766,59546
690,59547
288,59548
781,59549
772,59550
495,59551
480,59552
873,59553
758,59554
681,59555
690,59556
422,59557
493,59558
772,59559
288,59560
873,59561
781,59562
495,59563
279,59564
431,59565
693,59566
758,59567
681,59568
766,59569
480,59570
689,59571
495,59572
693,59573
873,59574
288,59575
690,59576
279,59577
493,59578
766,59579
431,59580
781,59581
681,59582
758,59583
687,59584
772,59585
431,59586
681,59587
781,59588
689,59589
495,59590
480,59591
687,59592
772,59593
873,59594
766,59595
690,59596
422,59597
279,59598
493,59599
781,59600
772,59601
288,59602
422,59603
495,59604
693,59605
431,59606
690,59607
873,59608
687,59609
279,59610
766,59611
758,59612
689,59613
480,59614
873,59615
758,59616
279,59617
681,59618
781,59619
690,59620
431,59621
687,59622
480,59623
766,59624
495,59625
693,59626
689,59627
493,59628
288,59629
693,59630
687,59631
693,59632
493,59633
873,59634
495,59635
772,59636
288,59637
758,59638
681,59639
689,59640
279,59641
480,59642
690,59643
766,59644
422,59645
480,59646
687,59647
781,59648
693,59649
493,59650
681,59651
279,59652
758,59653
772,59654
431,59655
422,59656
689,59657
288,59658
495,59659
493,59660
288,59661
693,59662
422,59663
758,59664
689,59665
690,59666
480,59667
766,59668
772,59669
781,59670
681,59671
873,59672
431,59673
681,59674
758,59675
690,59676
772,59677
687,59678
766,59679
493,59680
873,59681
495,59682
431,59683
693,59684
781,59685
279,59686
766,59687
772,59688
758,59689
690,59690
480,59691
687,59692
781,59693
288,59694
493,59695
279,59696
495,59697
873,59698
681,59699
431,59700
689,59701
422,59702
422,59703
687,59704
689,59705
480,59706
279,59707
781,59708
766,59709
873,59710
690,59711
431,59712
495,59713
288,59714
693,59715
690,59716
288,59717
873,59718
689,59719
772,59720
687,59721
681,59722
431,59723
495,59724
279,59725
493,59726
693,59727
766,59728
480,59729
422,59730
758,59731
690,59742
279,59733
288,59734
873,59735
681,59736
493,59737
480,59738
422,59739
495,59740
758,59741
431,59743
687,59744
693,59745
781,59746
772,59732
689,59747
