season,season_type,player_id,player_name,player_display_name,position,position_group,completions,attempts,passing_yards,passing_tds,interceptions,sacks,sack_yards,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_2pt_conversions,pacr,dakota,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,racr,target_share,air_yards_share,wopr,special_teams_tds,fantasy_points,fantasy_points_ppr
2024,POST,00-0034796,L.Jackson,Lamar Jackson,QB,QB,34,46,429,4,1,3,24,1,1,378,171,20,15.90495453,0,1.134920635,0.255464708,21,120,0,0,0,8,4.649677752,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,41.16,41.16
2024,POST,00-0034844,S.Barkley,Saquon Barkley,RB,RB,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,91,499,5,0,0,17,-3.289510935,0,13,15,75,0,0,0,-14,92,3,4.35260465,0,-5.357142857,0.176470588,-0.030368764,0.243447748,0,87.4,100.4
2024,POST,00-0034855,B.Mayfield,Baker Mayfield,QB,QB,15,18,185,2,0,1,2,0,0,138,81,12,13.49911541,0,1.34057971,0.257852116,7,23,0,1,1,1,-7.474898199,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,15.7,15.7
2024,POST,00-0034857,J.Allen,Josh Allen,QB,QB,58,82,636,4,0,5,22,1,0,674,322,26,21.41072323,1,0.943620178,0.195388026,29,105,2,2,0,14,4.656058337,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,65.94,65.94
2024,POST,00-0034869,S.Darnold,Sam Darnold,QB,QB,25,40,245,1,1,9,82,1,1,420,99,11,-28.95173703,0,0.583333333,0.003774173,4,19,0,0,0,3,5.571961073,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,11.7,11.7
2024,POST,00-0034928,S.Sims,Steven Sims,WR,WR,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,1,15,0,0,0,1,0.896699336,0,1,1,4,0,0,0,-3,7,0,-0.099835739,0,0,0.04,-0.011538462,0.051923077,0,1.9,2.9
2024,POST,00-0034970,I.Smith,Irv Smith,TE,TE,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,1,1,2,0,0,0,2,0,0,-0.359579039,0,1,0.035714286,0.007407407,0.058756614,0,0.2,1.2
2024,POST,00-0034975,J.Hill,Justice Hill,RB,RB,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,12,62,0,0,0,4,0.094024966,0,6,6,20,1,0,0,-10,30,3,2.63689926,0,-2,0.136363636,-0.026809651,0.185778699,0,14.2,20.2
2024,POST,00-0035208,O.Zaccheaus,Olamide Zaccheaus,WR,WR,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,7,10,45,0,0,0,36,36,4,1.176214106,1,1.25,0.092592593,0.050704225,0.174381847,0,6.5,13.5
2024,POST,00-0035216,D.Johnson,Diontae Johnson,WR,WR,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,1,1,12,0,0,0,8,4,0,-0.069780446,0,1.5,0.03125,0.025806452,0.064939516,0,1.2,2.2
2024,POST,00-0035229,T.Hockenson,T.J. Hockenson,TE,TE,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,5,5,64,1,0,0,33,31,3,6.590606098,0,1.939393939,0.125,0.078571429,0.2425,0,12.4,17.4
2024,POST,00-0035249,J.Oliver,Josh Oliver,TE,TE,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,1,1,5,0,0,0,-2,7,0,0.039519449,0,0,0.025,-0.004761905,0.034166667,0,0.5,1.5
2024,POST,00-0035537,T.Johnson,Ty Johnson,RB,RB,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,20,94,0,0,0,5,0.258405161,0,4,4,34,1,0,0,20,14,3,4.244639367,0,1.7,0.051948052,0.041067762,0.106669511,0,18.8,22.8
2024,POST,00-0035659,T.McLaurin,Terry McLaurin,WR,WR,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,14,23,227,3,0,0,209,130,10,15.22930984,0,1.086124402,0.212962963,0.294366197,0.525500782,0,40.7,54.7
2024,POST,00-0035662,M.Brown,Marquise Brown,WR,WR,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,5,13,50,0,0,0,167,26,3,-7.783623858,0,0.299401198,0.160493827,0.288428325,0.442640568,0,5,10
2024,POST,00-0035676,A.Brown,A.J. Brown,WR,WR,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,12,23,163,2,0,0,315,48,12,12.59141209,0,0.517460317,0.270588235,0.533898305,0.779611167,0,28.3,40.3
2024,POST,00-0035685,D.Montgomery,David Montgomery,RB,RB,1,1,20,0,0,0,0,0,0,-3,23,1,1.185910113,0,0,,7,28,0,0,0,2,-0.605129047,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,3.6,3.6
2024,POST,00-0035689,D.Knox,Dawson Knox,TE,TE,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,4,6,45,0,0,0,69,17,2,-0.2055599,0,0.652173913,0.077922078,0.110223642,0.194039666,0,4.5,8.5
2024,POST,00-0035700,J.Jacobs,Josh Jacobs,RB,RB,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,18,81,1,1,0,2,-0.027347114,0,3,3,40,0,0,0,6,34,3,3.362518583,0,6.666666667,0.090909091,0.02166065,0.151526091,0,18.1,21.1
2024,POST,00-0036158,J.Dobbins,J.K. Dobbins,RB,RB,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,9,26,0,0,0,2,-2.658374526,0,0,1,0,0,0,0,0,0,0,-1.511405969,0,,0.03125,,,0,2.6,2.6
2024,POST,00-0036244,C.Parkinson,Colby Parkinson,TE,TE,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,4,4,22,1,0,0,14,8,1,2.344131297,0,1.571428571,0.057142857,0.021604938,0.100837743,0,8.2,12.2
2024,POST,00-0036264,J.Love,Jordan Love,QB,QB,20,33,212,0,3,2,17,0,0,277,127,12,-5.509075429,0,0.76534296,-0.00587283,2,10,0,0,0,0,0.567049415,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,3.48,3.48
2024,POST,00-0036322,J.Jefferson,Justin Jefferson,WR,WR,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,5,8,58,0,0,0,149,11,2,-2.688317958,0,0.389261745,0.2,0.354761905,0.548333333,0,5.8,10.8
